cdatetime;address;district;crimedescr;ucr_ncic_code;severity
02.01.2006 07:00;2628 27TH ST;4;290(A)(1)(D) FAIL TO REG-5 DAY;3699;10
02.01.2006 07:16;3720 CYPRESS ST;2;594(B)(1)VANDALISM GRAF +$400;2999;3
02.01.2006 07:53;ETHAN WAY / HALLMARK DR;2;TRAFFIC-ACCIDENT-NON INJURY;5400;4
02.01.2006 08:00;4635 POWER INN RD;6;10851(A)VC TAKE VEH W/O OWNER;2404;5
02.01.2006 08:20;10TH ST / K ST;3;11350(A)HS POSS CNTRL SUBST;3532;4
02.01.2006 09:38;4TH AVE / REDDING AVE;6;TOWED/STORED VEHICLE;7000;10
02.01.2006 09:56;ROANOKE AVE / BELDEN ST;2;10851 VC AUTO THEFT LOCATE;2404;2
02.01.2006 10:00;212 CHRISTINE DR;2;290(A)(1)(D) FAIL TO REG-5 DAY;3699;4
02.01.2006 10:00;2351 NORTHGATE BLVD;1;242 PC  BATTERY CIVILIAN;1313;8
02.01.2006 10:00;3251 NORTHGATE BLVD;1;459 PC  BURGLARY VEHICLE;2299;5
02.01.2006 10:30;346 0LINDLEY DR;2;MISSING PERSON;7000;6
02.01.2006 11:00;2743 ALBATROSS WAY;2;THREATS - I RPT;7000;5
02.01.2006 11:00;720060 ROCK CREEK WAY;6;MISSING PERSON;7000;6
02.01.2006 11:03;MABEL ST / FORD RD;2;20001(A) VC HIT/RUN INJ/DEATH;5401;5
02.01.2006 11:32;MCNAMARA WAY / BENOIT CT;5;10851 VC AUTO THEFT LOCATE;2404;10
02.01.2006 11:37;RIO LINDA BLVD / CARMELITA AVE;2;TRAFFIC-ACCIDENT-NON INJURY;5400;6
02.01.2006 11:38;1328 D ST;3;BATTERY - I RPT;7000;3
02.01.2006 11:54;BETTY WAY / CAMELLIA AVE;3;20002(A) HIT/RUN;5401;3
02.01.2006 12:00;2156 0CANTALIER ST;2;MISSING PERSON;7000;3
02.01.2006 12:00;2300 G ST;3;1708 US   THEFT OF MAIL;2310;5
02.01.2006 12:00;3824 12TH AVE;6;HARASSMENT - I RPT;7000;8
02.01.2006 12:10;HAVENSIDE DR / RIVERSIDE BLVD;4;11351/5 HS POSS SALE RCK COCAI;3532;8
02.01.2006 12:22;W ST / 16TH ST;3;TOWED/STORED VEH-14602/6;7000;2
02.01.2006 12:29;1960 JOAN WAY;2;10851 VC AUTO THEFT LOCATE;2404;1
02.01.2006 13:00;100 CAPITOL MALL;3;10851(A)VC TAKE VEH W/O OWNER;2404;1
02.01.2006 13:00;2305 SANDCASTLE WAY;1;530/5 PC USE PERSONAL ID INFO;2604;4
02.01.2006 13:42;132 OLMSTEAD DR;2;245(A)(1)AWDW/NO FIREARM/CIVIL;1315;2
02.01.2006 14:00;4780 NATOMAS BLVD;1;459 PC  BURGLARY VEHICLE;2299;4
02.01.2006 14:00;RICHARDS BLVD / DOS RIOS ST;3;487(A) PC GRAND THEFT;2303;8
02.01.2006 14:15;5255 MACK RD;5;20002(A) HIT/RUN;5401;10
02.01.2006 14:21;8775 CENTER PKWY;5;20002(A) HIT/RUN;5401;5
02.01.2006 14:33;8TH AVE / 44TH ST;6;215(A) PC    CARJACKING;1212;5
02.01.2006 15:00;1370 RESPONSE RD;2;459 PC  BURGLARY VEHICLE;2299;1
02.01.2006 15:30;5016 012TH AVE;6;484 PC  PETTY THEFT/ OUTSIDE;2309;8
02.01.2006 15:39;8024 ELDER CREEK RD;6;602(K)TRESPASS:INJURE PROPERTY;5707;2
02.01.2006 15:59;1701 ARDEN WAY;2;459 PC  BURGLARY BUSINESS;2203;7
02.01.2006 16:00;1690 ARDEN WAY;2;459 PC  BURGLARY VEHICLE;2299;5
02.01.2006 16:18;DOS RIOS ST / RICHARDS BLVD;3;11377(A)HS POSS AMPHETAMINES;3572;3
02.01.2006 16:33;65TH ST / ELVAS AVE;3;TRAFFIC-ACCIDENT INJURY;5400;10
02.01.2006 16:40;3550 MARYSVILLE BLVD;2;484 PETTY THEFT/LICENSE PLATE;2399;2
02.01.2006 16:44;CALVINE RD / BRUCEVILLE RD;5;TRAFFIC-ACCIDENT INJURY;5400;8
02.01.2006 16:49;1896 0ARDEN WAY;2;503 PC   EMBEZZLEMENT;2799;2
